"","department_descr","product_group_descr","product_module_descr","new_label"
"119","GENERAL MERCHANDISE","HOUSEWARES, APPLIANCES","COFFEEMAKERS & PERCOLATORS","Beverage preparation appliances (e.g., for tea, coffee, beer and wine)"
"120","GENERAL MERCHANDISE","HOUSEWARES, APPLIANCES","COFFEE AND TEA MAKER APPLIANCE","Beverage preparation appliances (e.g., for tea, coffee, beer and wine)"
"121","GENERAL MERCHANDISE","BOOKS AND MAGAZINES","BOOKS","Books and magazines"
"122","GENERAL MERCHANDISE","BOOKS AND MAGAZINES","MAGAZINES","Books and magazines"
"123","GENERAL MERCHANDISE","BOOKS AND MAGAZINES","TOP 200 MAGAZINES","Books and magazines"
"124","GENERAL MERCHANDISE","BOOKS AND MAGAZINES","MAGAZINES SELECTED TITLES","Books and magazines"
"125","DRY GROCERY","BREAD AND BAKED GOODS","REFERENCE CARD BAKED GOODS - CAKES","Bread and baked goods"
"126","DRY GROCERY","BREAD AND BAKED GOODS","REFERENCE CARD BAKED GOODS - COOKIES","Bread and baked goods"
"127","DRY GROCERY","BREAD AND BAKED GOODS","REFERENCE CARD BAKED GOODS - PIES","Bread and baked goods"
"128","DRY GROCERY","BREAD AND BAKED GOODS","REFERENCE CARD BAKED GOODS - ALL OTHER","Bread and baked goods"
"129","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE BAGEL","Bread and baked goods"
"130","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE BREAD","Bread and baked goods"
"131","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE DOUGHNUT","Bread and baked goods"
"132","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE MUFFIN","Bread and baked goods"
"133","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE PIE AND PASTRY","Bread and baked goods"
"134","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE ROLL AND BUN AND BISCUIT","Bread and baked goods"
"135","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE SWEET ROLL","Bread and baked goods"
"136","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE CAKE","Bread and baked goods"
"137","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE COOKIE","Bread and baked goods"
"138","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE ENGLISH MUFFIN","Bread and baked goods"
"139","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE CRUMPET AND SCONE","Bread and baked goods"
"140","DRY GROCERY","BREAD AND BAKED GOODS","PERISHABLE CRUST AND SHELL","Bread and baked goods"
"141","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY - BREAD - FRESH","Bread and baked goods"
"142","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY-BUNS-FRESH","Bread and baked goods"
"143","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY-ROLLS-FRESH","Bread and baked goods"
"144","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY-MUFFINS-FRESH","Bread and baked goods"
"145","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY-CAKES-FRESH","Bread and baked goods"
"146","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY-BREAKFAST CAKES/SWEET ROLLS-FRESH","Bread and baked goods"
"147","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY-DOUGHNUTS-FRESH","Bread and baked goods"
"148","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY-PIES-FRESH","Bread and baked goods"
"149","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY-BAGELS-FRESH","Bread and baked goods"
"150","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY-BISCUITS-FRESH","Bread and baked goods"
"151","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY - REMAINING - FRESH","Bread and baked goods"
"152","DRY GROCERY","BREAD AND BAKED GOODS","BAKERY-CHEESECAKE-FRESH","Bread and baked goods"
"153","DRY GROCERY","BREAD AND BAKED GOODS","RBC BREAD","Bread and baked goods"
"154","DRY GROCERY","BREAD AND BAKED GOODS","RBC CAKE","Bread and baked goods"
"155","DRY GROCERY","BREAKFAST FOOD","TOASTER PASTRIES","Breakfast food"
"156","DRY GROCERY","BREAKFAST FOOD","GRANOLA & YOGURT BARS","Breakfast food"
"157","DRY GROCERY","BREAKFAST FOOD","INSTANT BREAKFAST - POWDERED","Breakfast food"
"158","DRY GROCERY","BREAKFAST FOOD","BREAKFAST BARS","Breakfast food"
"159","FROZEN FOODS","BREAKFAST FOODS-FROZEN","PERISHABLE BREAKFAST ENTREE","Breakfast food"
"160","FROZEN FOODS","BREAKFAST FOODS-FROZEN","PERISHABLE BREAKFAST PNCK WFL FRN TST","Breakfast food"
"161","FROZEN FOODS","BREAKFAST FOODS-FROZEN","FROZEN/REFRIGERATED BREAKFASTS","Breakfast food"
"162","FROZEN FOODS","BREAKFAST FOODS-FROZEN","TOASTER ITEMS - FROZEN","Breakfast food"
"163","FROZEN FOODS","BREAKFAST FOODS-FROZEN","FROZEN WAFFLES & PANCAKES & FRENCH TOAST","Breakfast food"
"164","DRY GROCERY","CEREAL","CEREAL - READY TO EAT","Breakfast food"
"165","DRY GROCERY","CEREAL","CEREAL - GRANOLA & NATURAL TYPES","Breakfast food"
"166","DRY GROCERY","CEREAL","CEREAL - HOT","Breakfast food"
"167","DRY GROCERY","CEREAL","WHEAT GERM","Breakfast food"
"168","DRY GROCERY","CEREAL","HOMINY GRITS","Breakfast food"
"169","DRY GROCERY","CEREAL","PERISHABLE GRAIN","Breakfast food"
"170","DRY GROCERY","CEREAL","PERISHABLE CEREAL","Breakfast food"
"171","DRY GROCERY","CEREAL","RBC CEREAL","Breakfast food"
"172","DAIRY","BUTTER AND MARGARINE","PERISHABLE BUTTER","Butter and margarine"
"173","DAIRY","BUTTER AND MARGARINE","PERISHABLE MARGARINE AND SPREAD","Butter and margarine"
"174","DAIRY","BUTTER AND MARGARINE","MARGARINE AND SPREADS","Butter and margarine"
"175","DAIRY","BUTTER AND MARGARINE","BUTTER","Butter and margarine"
"176","DRY GROCERY","CANDY","CANDY-CHOCOLATE-MINIATURES","Candy (chocolate)"
"177","DRY GROCERY","CANDY","CANDY-CHOCOLATE","Candy (chocolate)"
"178","DRY GROCERY","CANDY","CANDY-CHOCOLATE-SPECIAL","Candy (chocolate)"
"179","DRY GROCERY","CANDY","CANDY-DIETETIC - CHOCOLATE","Candy (chocolate)"
"180","DRY GROCERY","CANDY","PERISHABLE CHOCOLATE CANDY","Candy (chocolate)"
"181","DRY GROCERY","CANDY","CONFECTIONERY PASTE","Candy (non-chocolate)"
"182","DRY GROCERY","CANDY","BREATH SWEETENERS","Candy (non-chocolate)"
"183","DRY GROCERY","CANDY","CANDY-HARD ROLLED","Candy (non-chocolate)"
"184","DRY GROCERY","CANDY","CANDY-NON-CHOCOLATE-MINIATURES","Candy (non-chocolate)"
"185","DRY GROCERY","CANDY","CANDY-NON-CHOCOLATE","Candy (non-chocolate)"
"186","DRY GROCERY","CANDY","CANDY-LOLLIPOPS","Candy (non-chocolate)"
"187","DRY GROCERY","CANDY","MARSHMALLOWS","Candy (non-chocolate)"
"188","DRY GROCERY","CANDY","CANDY-KITS","Candy (non-chocolate)"
"189","DRY GROCERY","CANDY","CANDY-DIETETIC - NON-CHOCOLATE","Candy (non-chocolate)"
"190","DRY GROCERY","CANDY","PERISHABLE NONCHOCOLATE CANDY","Candy (non-chocolate)"
"191","DRY GROCERY","CANDY","PERISHABLE MARSHMALLOW","Candy (non-chocolate)"
"192","DRY GROCERY","CANDY","GIFT PACKAGE WITH CANDY OR GUM","Candy (non-chocolate)"
"193","DRY GROCERY","GUM","GUM-BUBBLE","Candy (non-chocolate)"
"194","DRY GROCERY","GUM","GUM-CHEWING","Candy (non-chocolate)"
"195","DRY GROCERY","GUM","GUM-CHEWING-SUGARFREE","Candy (non-chocolate)"
"196","DRY GROCERY","GUM","GUM-BUBBLE-SUGARFREE","Candy (non-chocolate)"
"197","DRY GROCERY","GUM","PERISHABLE GUM","Candy (non-chocolate)"
